id,graduacao,universidade,profissao,organizacao,pretende_fazer_cursos_lit,interesse_mba_lit,importante_ter_certificado,horas_semanais_estudo,como_conheceu_lit,total_modulos,modulos_iniciados,modulos_finalizados,certificados,categoria
620960868.0,MBA,Unesp,,,0.0,0.0,1.0,9.0,Saint Paul,195.0,97.0,87.0,2.0,perfil1
597396121.0,,Escola Paulista de Direito,SEM EXPERIÊNCIA,Montadora,1.0,,1.0,2.0,YouTube,,5.0,4.0,0.0,perfil6
954274807.0,Licenciatura,,Analista Senior,Borracha,0.0,0.0,,,Facebook,596.0,364.0,341.0,0.0,perfil2
317075982.0,SEM FORMAÇÃO,CENTRO UNIVERSITÁRIO ESTÁCIO DA SÁ,Coordenador,Borracha,0.0,0.0,,8.0,Outros,112.0,60.0,44.0,1.0,perfil1
393428543.0,Licenciatura,FACULDADE ANHANGUERA,SEM EXPERIÊNCIA,Montadora,1.0,1.0,1.0,3.0,Google,41.0,2.0,1.0,0.0,perfil6
770587581.0,SEM FORMAÇÃO,,Engenheiro,,1.0,1.0,1.0,3.0,,266.0,130.0,76.0,0.0,perfil2
882541607.0,MBA,,Advogado,Eletroeletronicos,,1.0,1.0,6.0,Saint Paul,30.0,5.0,4.0,0.0,perfil6
896564225.0,Licenciatura,FGV-RJ,,,1.0,,1.0,8.0,Instagram,100.0,26.0,14.0,0.0,perfil4
274119818.0,Especialização,Escola Paulista de Direito,,,1.0,,1.0,7.0,Outros,638.0,468.0,405.0,0.0,perfil2
170280742.0,SEM FORMAÇÃO,UFPE,Coordenador,,1.0,1.0,1.0,5.0,Outros,10.0,6.0,4.0,0.0,perfil6
339102917.0,,UNIVERSIDADE CRUZEIRO DO SUL,Advogado,Oleo e Gas,0.0,0.0,,9.0,Mídia (revista/jornal/web),67.0,15.0,8.0,0.0,perfil5
,,UFRJ,Analista Senior,e-commerce,0.0,0.0,1.0,3.0,Google,94.0,10.0,5.0,0.0,perfil5
,Bacharelado,FATEC,Assessor,Laminados,1.0,1.0,1.0,3.0,Mídia (revista/jornal/web),23.0,22.0,20.0,0.0,perfil3
628500466.0,Bacharelado,UNIVERSIDADE PRESBITERIANA MACKENZIE,Gerente,Eletrodomesticos,1.0,1.0,1.0,4.0,Linkedin,64.0,13.0,9.0,0.0,perfil4
255256610.0,Tecnólogo,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,Assessor,Montadora,1.0,1.0,,2.0,,80.0,49.0,,0.0,perfil2
259893933.0,SEM FORMAÇÃO,,Analista,Laminados,0.0,0.0,1.0,8.0,YouTube,,18.0,14.0,0.0,perfil4
136919621.0,SEM FORMAÇÃO,INSPER INSTITUTO DE ENSINO E PESQUISA,Sócio/Dono/Proprietário,Entretenimento,1.0,1.0,1.0,10.0,Google,10.0,10.0,8.0,0.0,perfil5
636637124.0,Especialização,Unesp,Diretor,Estado,1.0,1.0,1.0,7.0,Outros,27.0,9.0,5.0,0.0,perfil5
,,,Outros,Eletroeletronicos,0.0,0.0,1.0,4.0,Linkedin,,27.0,27.0,0.0,perfil2
469455466.0,,UNICAMP,Assessor,Entretenimento,0.0,0.0,1.0,6.0,Outros,32.0,13.0,10.0,0.0,perfil4
555854774.0,Especialização,UFSCar,Supervisor,Oleo e Gas,1.0,1.0,1.0,,Linkedin,30.0,1.0,1.0,0.0,perfil6
841056447.0,Bacharelado,CENTRO UNIVERSITÁRIO ESTÁCIO DA SÁ,Sócio/Dono/Proprietário,Borracha,1.0,1.0,1.0,,Instagram,173.0,14.0,8.0,0.0,perfil5
424620904.0,Bacharelado,USP,Engenheiro,Estado,0.0,0.0,1.0,7.0,Saint Paul,33.0,4.0,2.0,,perfil6
929215525.0,,Escola Paulista de Direito,Advogado,Siderurgica,,1.0,1.0,10.0,Outros,27.0,,,0.0,perfil5
556221037.0,Bacharelado,Escola Paulista de Direito,Coordenador,Siderurgica,1.0,1.0,1.0,2.0,Minha empresa - benefício LITpass,,74.0,,,perfil2
181591077.0,Tecnólogo,Unesp,Outros,,0.0,0.0,1.0,7.0,Outros,54.0,6.0,2.0,0.0,perfil6
177836599.0,Tecnólogo,,Supervisor,Montadora,1.0,1.0,,9.0,Mídia (revista/jornal/web),122.0,,68.0,0.0,perfil2
605488222.0,Licenciatura,UNIVERSIDADE NOVE DE JULHO,,Borracha,0.0,0.0,1.0,4.0,Instagram,65.0,43.0,36.0,0.0,perfil2
530323644.0,Especialização,UNIVERSIDADE CRUZEIRO DO SUL,,,0.0,0.0,1.0,4.0,,161.0,93.0,90.0,1.0,perfil1
284273870.0,Bacharelado,UFSCar,Supervisor,servicos,0.0,0.0,,,Mídia (revista/jornal/web),90.0,26.0,20.0,0.0,perfil3
569359676.0,Tecnólogo,,Coordenador,Eletroeletronicos,0.0,,1.0,6.0,Instagram,,11.0,10.0,0.0,perfil4
699696773.0,MBA,UEPB,Coordenador,Borracha,1.0,1.0,,,Minha empresa - benefício LITpass,100.0,76.0,74.0,1.0,perfil1
146884987.0,Licenciatura,UNIVERSIDADE CRUZEIRO DO SUL,Advogado,e-commerce,1.0,1.0,1.0,3.0,YouTube,61.0,49.0,43.0,0.0,perfil2
901353911.0,,FATEC,Assessor,servicos,0.0,,1.0,3.0,Saint Paul,29.0,7.0,5.0,0.0,perfil5
581448316.0,Bacharelado,FATEC,SEM EXPERIÊNCIA,Eletrodomesticos,1.0,1.0,1.0,,Saint Paul,29.0,25.0,25.0,,perfil2
226140284.0,,FACULDADE ANHANGUERA,,Siderurgica,1.0,1.0,1.0,,YouTube,10.0,3.0,2.0,0.0,perfil6
656914650.0,SEM FORMAÇÃO,UNIVERSIDADE NOVE DE JULHO,,Eletroeletronicos,1.0,1.0,1.0,2.0,Instagram,30.0,3.0,1.0,0.0,perfil6
518514800.0,Tecnólogo,UEPB,Advogado,Oleo e Gas,1.0,1.0,1.0,10.0,Google,30.0,2.0,1.0,,perfil6
,SEM FORMAÇÃO,UNIP,Analista Senior,Laminados,1.0,1.0,1.0,4.0,Instagram,27.0,27.0,27.0,0.0,perfil2
612370549.0,Licenciatura,CENTRO UNIVERSITÁRIO ESTÁCIO DA SÁ,Coordenador,Montadora,0.0,0.0,,6.0,Google,10.0,9.0,8.0,0.0,perfil5
927914648.0,MBA,,Engenheiro,Estado,,0.0,1.0,3.0,,71.0,69.0,68.0,1.0,perfil1
268414552.0,MBA,UNIVERSIDADE CRUZEIRO DO SUL,SEM EXPERIÊNCIA,Eletrodomesticos,1.0,1.0,1.0,2.0,Facebook,,314.0,284.0,2.0,perfil1
319367235.0,,FATEC,,e-commerce,0.0,0.0,1.0,5.0,Outros,,9.0,4.0,0.0,perfil6
258436765.0,Tecnólogo,UNIP,Sócio/Dono/Proprietário,Eletroeletronicos,1.0,,1.0,4.0,Outros,31.0,17.0,16.0,0.0,perfil3
678136427.0,Licenciatura,UNICAMP,Gerente,Laminados,0.0,,1.0,7.0,Mídia (revista/jornal/web),160.0,66.0,17.0,0.0,perfil3
462985314.0,Especialização,Universidade Metodista de Sao Paulo,Assessor,e-commerce,0.0,0.0,1.0,5.0,,83.0,83.0,82.0,,perfil1
419069904.0,SEM FORMAÇÃO,FATEC,,Siderurgica,1.0,1.0,1.0,5.0,Mídia (revista/jornal/web),105.0,43.0,,0.0,perfil2
131818548.0,Especialização,FGV-RJ,Supervisor,Oleo e Gas,1.0,1.0,1.0,10.0,Facebook,466.0,466.0,464.0,,perfil1
819976596.0,Especialização,UFPE,Diretor,e-commerce,0.0,0.0,1.0,3.0,Linkedin,,6.0,2.0,0.0,perfil6
999899879.0,,FATEC,Engenheiro,servicos,0.0,0.0,1.0,,Outros,248.0,27.0,14.0,0.0,perfil4
647373954.0,Bacharelado,FGV-RJ,Advogado,Borracha,1.0,1.0,1.0,7.0,YouTube,57.0,36.0,32.0,0.0,perfil2
,Bacharelado,UNIVERSIDADE PRESBITERIANA MACKENZIE,,Eletrodomesticos,0.0,0.0,1.0,3.0,Outros,10.0,4.0,2.0,0.0,perfil6
275757894.0,Bacharelado,UFPE,Coordenador,Borracha,1.0,1.0,1.0,3.0,Google,10.0,5.0,3.0,,perfil6
664645201.0,Bacharelado,Unesp,Advogado,Montadora,1.0,1.0,1.0,3.0,Linkedin,95.0,47.0,44.0,0.0,perfil2
689608611.0,Bacharelado,FGV-RJ,Gerente,Oleo e Gas,,1.0,1.0,6.0,Outros,97.0,31.0,26.0,0.0,perfil2
776472124.0,Licenciatura,UFPE,Engenheiro,Eletrodomesticos,,1.0,1.0,10.0,,4.0,4.0,4.0,0.0,perfil6
109187401.0,Licenciatura,UNICAMP,Coordenador,Montadora,0.0,0.0,,7.0,Instagram,207.0,78.0,61.0,,perfil2
841258264.0,Tecnólogo,UFSCar,Engenheiro,Borracha,0.0,0.0,1.0,4.0,Saint Paul,21.0,20.0,16.0,0.0,perfil3
172667270.0,Tecnólogo,FATEC,,,1.0,1.0,1.0,7.0,Outros,28.0,5.0,3.0,0.0,perfil6
602137858.0,MBA,Universidade Metodista de Sao Paulo,Analista,Oleo e Gas,0.0,0.0,1.0,,Outros,21.0,,10.0,0.0,perfil4
187955137.0,Tecnólogo,UNICAMP,,Montadora,0.0,0.0,1.0,5.0,Outros,158.0,97.0,88.0,1.0,perfil1
653956501.0,Tecnólogo,UFSCar,,Montadora,1.0,1.0,1.0,7.0,,9.0,3.0,2.0,0.0,perfil6
231275804.0,Bacharelado,,Gerente,Eletrodomesticos,0.0,0.0,1.0,8.0,Minha empresa - benefício LITpass,,3.0,1.0,0.0,perfil6
110875128.0,Bacharelado,UFRN,Assessor,Laminados,1.0,,,,YouTube,27.0,3.0,,0.0,perfil6
749596249.0,SEM FORMAÇÃO,FATEC,Outros,,0.0,0.0,1.0,4.0,YouTube,21.0,11.0,9.0,0.0,perfil4
252391801.0,Bacharelado,UNICAMP,Outros,Estado,1.0,1.0,1.0,4.0,Outros,58.0,19.0,17.0,0.0,perfil3
556068734.0,Tecnólogo,UNIP,Coordenador,Eletroeletronicos,0.0,0.0,,3.0,Minha empresa - benefício LITpass,,3.0,,0.0,perfil6
233385996.0,Especialização,Escola Paulista de Direito,Engenheiro,Siderurgica,0.0,0.0,1.0,7.0,Outros,10.0,2.0,1.0,0.0,perfil6
890837272.0,Licenciatura,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,Engenheiro,e-commerce,0.0,0.0,1.0,2.0,YouTube,61.0,32.0,30.0,0.0,perfil2
,Bacharelado,Escola Paulista de Direito,Engenheiro,,,1.0,1.0,6.0,Linkedin,27.0,8.0,,0.0,perfil5
124188208.0,Tecnólogo,UFPE,,Laminados,1.0,1.0,1.0,5.0,YouTube,29.0,29.0,29.0,1.0,perfil1
310254954.0,Licenciatura,UNIVERSIDADE CRUZEIRO DO SUL,Advogado,Montadora,,,1.0,9.0,Outros,621.0,272.0,91.0,0.0,perfil2
513374691.0,Licenciatura,UFF,Engenheiro,Entretenimento,1.0,1.0,1.0,5.0,Outros,244.0,91.0,84.0,,perfil2
,Especialização,UEPB,SEM EXPERIÊNCIA,Borracha,1.0,1.0,1.0,10.0,Google,71.0,9.0,,0.0,perfil5
357834846.0,Tecnólogo,UNICAMP,Supervisor,Eletroeletronicos,,0.0,1.0,,Saint Paul,,140.0,89.0,0.0,perfil2
490161852.0,Bacharelado,,Engenheiro,servicos,1.0,1.0,1.0,10.0,Google,128.0,70.0,53.0,,perfil2
387736854.0,Licenciatura,UFF,Engenheiro,Estado,0.0,0.0,1.0,5.0,Facebook,29.0,2.0,1.0,0.0,perfil6
868728189.0,Licenciatura,UNIVERSIDADE PRESBITERIANA MACKENZIE,Gerente,Entretenimento,1.0,1.0,1.0,9.0,Outros,21.0,16.0,13.0,,perfil1
713631256.0,Licenciatura,UNIVERSIDADE NOVE DE JULHO,Engenheiro,Eletroeletronicos,0.0,0.0,1.0,6.0,Linkedin,617.0,160.0,128.0,0.0,perfil2
,Licenciatura,FGV-RJ,Outros,,1.0,1.0,1.0,5.0,Google,68.0,40.0,,0.0,perfil2
887917484.0,Bacharelado,UEPB,Engenheiro,Siderurgica,0.0,0.0,1.0,9.0,Mídia (revista/jornal/web),482.0,135.0,69.0,0.0,perfil2
295389955.0,Tecnólogo,UNIVERSIDADE NOVE DE JULHO,Assessor,Estado,1.0,1.0,1.0,5.0,Google,252.0,151.0,135.0,2.0,perfil1
,,UNIVERSIDADE CRUZEIRO DO SUL,Gerente,Borracha,0.0,0.0,1.0,4.0,Instagram,9.0,6.0,4.0,,perfil6
728871305.0,MBA,CENTRO UNIVERSITÁRIO ESTÁCIO DA SÁ,Sócio/Dono/Proprietário,Oleo e Gas,1.0,1.0,1.0,4.0,Instagram,114.0,56.0,54.0,0.0,perfil2
931335481.0,MBA,Universidade Metodista de Sao Paulo,Supervisor,servicos,1.0,,1.0,5.0,Mídia (revista/jornal/web),185.0,,44.0,0.0,perfil2
360032346.0,Tecnólogo,,Analista,e-commerce,0.0,0.0,1.0,7.0,YouTube,62.0,38.0,36.0,1.0,perfil1
807233489.0,Bacharelado,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,Outros,,1.0,1.0,1.0,,Mídia (revista/jornal/web),73.0,17.0,,0.0,perfil5
118520113.0,Especialização,Unesp,Gerente,Eletroeletronicos,1.0,1.0,1.0,9.0,YouTube,54.0,,53.0,0.0,perfil2
574651045.0,MBA,UEPB,SEM EXPERIÊNCIA,Borracha,0.0,0.0,1.0,9.0,Minha empresa - benefício LITpass,237.0,199.0,198.0,6.0,perfil1
378954686.0,Licenciatura,UEPB,Analista Senior,Eletrodomesticos,0.0,0.0,1.0,6.0,Google,,6.0,3.0,0.0,perfil6
280756530.0,SEM FORMAÇÃO,Universidade Metodista de Sao Paulo,Assessor,Borracha,1.0,1.0,1.0,5.0,Linkedin,87.0,,15.0,0.0,perfil3
433226326.0,,Escola Paulista de Direito,Analista,e-commerce,1.0,1.0,1.0,4.0,Mídia (revista/jornal/web),,39.0,39.0,0.0,perfil2
587131389.0,Tecnólogo,UFRN,Analista Senior,Eletrodomesticos,,1.0,1.0,10.0,YouTube,67.0,44.0,43.0,1.0,perfil1
433631277.0,SEM FORMAÇÃO,Unesp,Analista,Borracha,0.0,0.0,1.0,4.0,,,,93.0,0.0,perfil2
779644175.0,Bacharelado,UFRJ,Outros,Eletrodomesticos,1.0,1.0,1.0,3.0,Mídia (revista/jornal/web),50.0,18.0,16.0,0.0,perfil3
398632694.0,Bacharelado,,Sócio/Dono/Proprietário,servicos,0.0,0.0,1.0,8.0,Mídia (revista/jornal/web),37.0,37.0,37.0,0.0,perfil2
617008040.0,SEM FORMAÇÃO,UFRJ,Diretor,Eletrodomesticos,,0.0,1.0,,Facebook,,10.0,10.0,0.0,perfil4
601627850.0,Licenciatura,UNIVERSIDADE NOVE DE JULHO,Assessor,Laminados,1.0,,1.0,5.0,YouTube,193.0,,47.0,0.0,perfil2
,Tecnólogo,Escola Paulista de Direito,Advogado,Siderurgica,1.0,1.0,1.0,6.0,YouTube,564.0,232.0,221.0,5.0,perfil1
,MBA,Escola Paulista de Direito,Analista Senior,Eletroeletronicos,1.0,1.0,,2.0,Google,29.0,6.0,3.0,0.0,perfil6
,Licenciatura,UNIP,Assessor,Oleo e Gas,0.0,0.0,,6.0,Google,183.0,118.0,78.0,0.0,perfil2
188978147.0,MBA,UNIVERSIDADE CRUZEIRO DO SUL,SEM EXPERIÊNCIA,servicos,,0.0,1.0,6.0,Outros,58.0,40.0,,0.0,perfil2
995676420.0,Bacharelado,UNIVERSIDADE CRUZEIRO DO SUL,Supervisor,Siderurgica,0.0,0.0,1.0,3.0,Outros,11.0,8.0,5.0,,perfil5
999731324.0,Bacharelado,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,Analista Senior,Montadora,,1.0,,7.0,Outros,,120.0,,3.0,perfil1
301400743.0,Bacharelado,UNIVERSIDADE CRUZEIRO DO SUL,Analista Senior,Estado,0.0,,1.0,9.0,Outros,100.0,99.0,99.0,3.0,perfil1
331375192.0,Bacharelado,UNIVERSIDADE PRESBITERIANA MACKENZIE,Outros,,0.0,,1.0,5.0,Outros,50.0,,9.0,,perfil4
182526416.0,,Escola Paulista de Direito,Gerente,Siderurgica,1.0,1.0,1.0,3.0,Google,104.0,25.0,17.0,0.0,perfil3
822934970.0,,Universidade Metodista de Sao Paulo,Engenheiro,Eletrodomesticos,0.0,0.0,1.0,,,68.0,38.0,,1.0,perfil1
191386175.0,Tecnólogo,UNIVERSIDADE CRUZEIRO DO SUL,Supervisor,servicos,1.0,1.0,,7.0,Outros,134.0,,42.0,0.0,perfil2
560163160.0,Bacharelado,UNIP,Sócio/Dono/Proprietário,Borracha,1.0,1.0,,8.0,Facebook,167.0,110.0,102.0,0.0,perfil2
210775709.0,Especialização,USP,Coordenador,Entretenimento,0.0,0.0,1.0,10.0,Instagram,27.0,,4.0,,perfil6
,MBA,UNIP,Engenheiro,Montadora,,0.0,1.0,4.0,Minha empresa - benefício LITpass,27.0,6.0,,,perfil5
,Especialização,Unesp,Sócio/Dono/Proprietário,Eletroeletronicos,1.0,1.0,1.0,8.0,Instagram,71.0,41.0,40.0,,perfil2
778361337.0,MBA,UFRJ,Assessor,Montadora,1.0,1.0,1.0,7.0,Linkedin,85.0,57.0,52.0,,perfil1
583309233.0,Licenciatura,INSPER INSTITUTO DE ENSINO E PESQUISA,Outros,Estado,1.0,1.0,1.0,4.0,Instagram,27.0,,27.0,1.0,perfil1
509739189.0,Licenciatura,UNIVERSIDADE CRUZEIRO DO SUL,Analista Senior,Eletrodomesticos,1.0,,,4.0,Outros,30.0,29.0,25.0,0.0,perfil2
247922646.0,Especialização,UFSCar,Advogado,Eletrodomesticos,1.0,1.0,1.0,9.0,YouTube,27.0,23.0,21.0,0.0,perfil2
781560712.0,MBA,UFF,Engenheiro,Borracha,1.0,1.0,1.0,3.0,Outros,31.0,2.0,1.0,0.0,perfil6
164603079.0,MBA,UFRJ,Diretor,Siderurgica,0.0,0.0,1.0,6.0,Facebook,97.0,97.0,96.0,0.0,perfil2
224184916.0,Bacharelado,UNIVERSIDADE NOVE DE JULHO,Analista,Laminados,1.0,,1.0,2.0,Saint Paul,29.0,13.0,10.0,0.0,perfil4
217056471.0,SEM FORMAÇÃO,,Diretor,Siderurgica,0.0,0.0,,6.0,Mídia (revista/jornal/web),,4.0,2.0,0.0,perfil6
807226012.0,Bacharelado,UFRJ,Diretor,Montadora,1.0,1.0,1.0,6.0,,28.0,3.0,1.0,0.0,perfil6
731864787.0,Especialização,UFSCar,Analista,servicos,1.0,1.0,1.0,5.0,Facebook,28.0,13.0,11.0,0.0,perfil4
890530217.0,Bacharelado,UFRN,SEM EXPERIÊNCIA,Laminados,0.0,0.0,1.0,5.0,Outros,68.0,30.0,27.0,,perfil2
652464169.0,Licenciatura,INSPER INSTITUTO DE ENSINO E PESQUISA,SEM EXPERIÊNCIA,Eletrodomesticos,0.0,0.0,1.0,8.0,Outros,97.0,6.0,4.0,0.0,perfil6
377983670.0,,UFF,Sócio/Dono/Proprietário,Estado,,1.0,1.0,2.0,Mídia (revista/jornal/web),,3.0,1.0,0.0,perfil6
588061312.0,Especialização,UNICAMP,Sócio/Dono/Proprietário,Oleo e Gas,0.0,0.0,,6.0,YouTube,27.0,,16.0,0.0,perfil3
974217508.0,Tecnólogo,UNIVERSIDADE CRUZEIRO DO SUL,Outros,Laminados,0.0,0.0,1.0,2.0,Linkedin,59.0,19.0,15.0,0.0,perfil3
643391332.0,Especialização,UFSCar,Outros,e-commerce,,1.0,1.0,2.0,,38.0,10.0,7.0,0.0,perfil5
169175700.0,SEM FORMAÇÃO,UNIP,Diretor,Eletroeletronicos,0.0,0.0,1.0,7.0,YouTube,28.0,4.0,1.0,0.0,perfil6
243420711.0,Especialização,FGV-RJ,Sócio/Dono/Proprietário,,,0.0,,10.0,Saint Paul,31.0,5.0,4.0,0.0,perfil6
172397388.0,SEM FORMAÇÃO,UNICAMP,Analista,Laminados,1.0,1.0,1.0,4.0,Instagram,71.0,67.0,66.0,0.0,perfil2
316756441.0,,FACULDADE ANHANGUERA,Analista Senior,Montadora,,0.0,1.0,,,26.0,8.0,5.0,0.0,perfil5
715321896.0,Licenciatura,UFRN,Engenheiro,servicos,0.0,0.0,1.0,2.0,YouTube,32.0,,3.0,0.0,perfil6
878266031.0,MBA,CENTRO UNIVERSITÁRIO ESTÁCIO DA SÁ,Coordenador,e-commerce,0.0,0.0,1.0,6.0,Outros,33.0,12.0,11.0,0.0,perfil4
162340250.0,Tecnólogo,UEPB,Outros,Estado,0.0,0.0,1.0,10.0,Instagram,165.0,44.0,39.0,0.0,perfil2
995764386.0,MBA,UFRN,Outros,Siderurgica,1.0,1.0,1.0,9.0,,69.0,,54.0,0.0,perfil2
643975796.0,MBA,UNIP,Gerente,Eletrodomesticos,0.0,0.0,,7.0,Instagram,116.0,17.0,5.0,0.0,perfil5
583779259.0,SEM FORMAÇÃO,UFF,Outros,Montadora,0.0,0.0,1.0,2.0,Saint Paul,10.0,4.0,2.0,0.0,perfil6
770998193.0,Bacharelado,UNIVERSIDADE CRUZEIRO DO SUL,,servicos,1.0,1.0,,2.0,,29.0,29.0,29.0,0.0,perfil2
,Bacharelado,UNIP,SEM EXPERIÊNCIA,,1.0,1.0,1.0,,Mídia (revista/jornal/web),2.0,2.0,2.0,0.0,perfil6
,,UFRN,Sócio/Dono/Proprietário,servicos,1.0,1.0,1.0,,Minha empresa - benefício LITpass,10.0,10.0,10.0,0.0,perfil4
862963697.0,MBA,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,Outros,e-commerce,1.0,1.0,,8.0,,,18.0,,1.0,perfil1
589332970.0,,,Gerente,Oleo e Gas,1.0,1.0,1.0,2.0,Linkedin,32.0,32.0,,,perfil1
185953507.0,Licenciatura,UNIVERSIDADE ESTADUAL DE PONTA GROSSA,,Oleo e Gas,1.0,1.0,,8.0,Saint Paul,103.0,,5.0,,perfil5
854476601.0,Tecnólogo,UNIVERSIDADE PRESBITERIANA MACKENZIE,Advogado,servicos,0.0,0.0,1.0,3.0,,93.0,80.0,80.0,0.0,perfil2
834075786.0,MBA,UEPB,Gerente,Borracha,1.0,1.0,,7.0,,,2.0,1.0,0.0,perfil6
698153002.0,Licenciatura,,Sócio/Dono/Proprietário,Montadora,1.0,1.0,1.0,2.0,Google,,6.0,5.0,0.0,perfil5
,SEM FORMAÇÃO,UNIVERSIDADE PRESBITERIANA MACKENZIE,Assessor,Eletrodomesticos,1.0,1.0,1.0,7.0,Google,27.0,3.0,3.0,0.0,perfil6
,Bacharelado,Unesp,Engenheiro,Montadora,,,1.0,8.0,Minha empresa - benefício LITpass,32.0,,1.0,0.0,perfil6
890336112.0,MBA,,Analista Senior,Eletroeletronicos,1.0,,1.0,10.0,Instagram,49.0,5.0,,0.0,perfil5
394684643.0,Bacharelado,USP,Assessor,,0.0,0.0,1.0,6.0,Google,70.0,11.0,,0.0,perfil5
569240599.0,Bacharelado,FGV-RJ,,Eletrodomesticos,,1.0,1.0,7.0,Google,,61.0,49.0,0.0,perfil2
663534268.0,MBA,INSPER INSTITUTO DE ENSINO E PESQUISA,Engenheiro,Eletroeletronicos,,1.0,,4.0,Outros,49.0,33.0,31.0,0.0,perfil2
619356540.0,,FACULDADE ANHANGUERA,Analista,Eletroeletronicos,0.0,0.0,1.0,6.0,Saint Paul,27.0,,5.0,0.0,perfil5
237376459.0,Licenciatura,UFF,Supervisor,Estado,0.0,0.0,1.0,,Outros,89.0,84.0,84.0,0.0,perfil2
711764140.0,Tecnólogo,INSPER INSTITUTO DE ENSINO E PESQUISA,Assessor,,0.0,0.0,1.0,8.0,YouTube,60.0,7.0,4.0,0.0,perfil6
379069914.0,Licenciatura,UNICAMP,Outros,Oleo e Gas,0.0,0.0,1.0,10.0,Saint Paul,139.0,69.0,57.0,,perfil2
,,UFRJ,Analista Senior,e-commerce,0.0,0.0,1.0,3.0,YouTube,31.0,28.0,25.0,0.0,perfil2
123741129.0,Tecnólogo,UNICAMP,Diretor,Eletroeletronicos,,1.0,,6.0,Instagram,25.0,25.0,25.0,1.0,perfil1
390776868.0,Licenciatura,UEPB,Coordenador,Eletrodomesticos,1.0,,,7.0,Linkedin,39.0,28.0,26.0,0.0,perfil2
454951466.0,MBA,FGV-RJ,Analista Senior,Montadora,1.0,1.0,1.0,5.0,Google,10.0,5.0,3.0,0.0,perfil6
791140065.0,Tecnólogo,,Analista,Montadora,0.0,0.0,1.0,10.0,Facebook,63.0,,28.0,0.0,perfil2
690819656.0,Bacharelado,UNIVERSIDADE CRUZEIRO DO SUL,Analista,Laminados,0.0,0.0,1.0,7.0,Minha empresa - benefício LITpass,,82.0,82.0,0.0,perfil2
656567106.0,Especialização,UNICAMP,SEM EXPERIÊNCIA,Eletrodomesticos,0.0,,1.0,8.0,Google,30.0,21.0,18.0,0.0,perfil3
582829774.0,Tecnólogo,FATEC,Coordenador,Oleo e Gas,0.0,0.0,1.0,3.0,Saint Paul,164.0,118.0,,1.0,perfil1
772448239.0,Tecnólogo,FGV-RJ,Supervisor,Laminados,0.0,0.0,1.0,10.0,Facebook,,86.0,73.0,0.0,perfil2
